Family,Sub-family,Product Name,Year,Amount  USD,Gross Amount  USD,Net Amount  USD,Quantity,Profit Margin,Average Price
SEA FREIGHT,EXPORT,CARGO X FEE,2019,175.0,175.0,43.21,1.0,-0.7530857142857142,43.21
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,1400.0,1400.0,40.64,1.0,-0.9709714285714285,40.64
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,91.91793,91.91793,39.54,4.0,-0.5698336548701651,9.885
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2019,400.0,400.0,10.7,1.0,-0.9732500000000001,10.7
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,15.0,15.0,28.01,1.0,0.8673333333333334,28.01
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2019,75.0,75.0,20.72,1.0,-0.7237333333333333,20.72
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,344.7062,344.7062,23.84,5.0,-0.9308396541750628,4.768
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,66.0,66.0,22.77,1.0,-0.655,22.77
SEA FREIGHT,EXPORT,CARGO X FEE,2019,200.0,200.0,29.42,1.0,-0.8528999999999999,29.42
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2019,350.0,350.0,15.02,1.0,-0.9570857142857143,15.02
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2019,2090.0,2090.0,47.08,1.0,-0.9774736842105264,47.08
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,143.35348,143.35348,15.87,3.0,-0.8892946303082422,5.29
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2019,315.0,315.0,19.07,2.0,-0.9394603174603174,9.535
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2019,994.0,994.0,25.85,5.0,-0.9739939637826962,5.17
SEA FREIGHT,IMPORT,DELIVERY ORDER (VAT),2019,35.0,35.0,30.76,1.0,-0.1211428571428571,30.76
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,55.0,55.0,20.56,1.0,-0.6261818181818182,20.56
AIR FREIGHT,EXPORT,CUSTOM CLEARANCE FORMALITIES AT ,2019,110.0,110.0,24.33,1.0,-0.7788181818181819,24.33
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2019,360.0,360.0,22.17,1.0,-0.9384166666666667,22.17
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,370.0,370.0,41.2,1.0,-0.8886486486486487,41.2
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,750.0,750.0,30.26,1.0,-0.9596533333333334,30.26
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2019,25.0,25.0,12.43,1.0,-0.5028,12.43
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,2575.0,2575.0,34.2,1.0,-0.9867184466019419,34.2
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2019,58.0,58.0,13.24,2.0,-0.7717241379310344,6.62
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2019,230.0,230.0,47.41,1.0,-0.7938695652173913,47.41
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2019,200.0,200.0,18.71,1.0,-0.90645,18.71
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2019,445.0,445.0,12.88,1.0,-0.9710561797752809,12.88
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2019,160.0,160.0,36.59,4.0,-0.7713125,9.1475
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2019,33.0,33.0,31.6,1.0,-0.04242424242424238,31.6
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2019,875.0,875.0,12.27,1.0,-0.9859771428571429,12.27
AIR FREIGHT,EXPORT,EX WORKS FOR AIRFREIGH CARGO,2019,294.0,294.0,16.13,3.0,-0.9451360544217687,5.376666666666666
