Family,Sub-family,Product Name,Year,Amount  USD,Gross Amount  USD,Net Amount  USD,Quantity,Profit Margin,Average Price
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,300.0,300.0,14.39,1.0,-0.9520333333333334,14.39
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,265.0,265.0,43.18,1.0,-0.8370566037735849,43.18
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,300.0,300.0,30.18,1.0,-0.8994,30.18
SEA FREIGHT,EXPORT,CERTIFICATE OF ORIGIN FEE,2020,100.0,100.0,12.2,1.0,-0.878,12.2
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT ADDITIONAL CHARGES,2020,25.0,25.0,49.63,1.0,0.9852000000000001,49.63
SEA FREIGHT,IMPORT,DELIVERY ORDER (VAT),2020,80.0,80.0,37.56,2.0,-0.5305,18.78
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2020,165.0,165.0,47.63,1.0,-0.7113333333333334,47.63
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2020,2400.0,2400.0,48.57,12.0,-0.9797625,4.0475
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2020,401.0,401.0,22.25,1.0,-0.9445137157107232,22.25
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,157.0,157.0,32.51,1.0,-0.7929299363057325,32.51
SEA FREIGHT,IMPORT,OCEAN FREIGHT - IMPORT,2020,500.0,500.0,25.35,2.0,-0.9492999999999999,12.675
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,99.0,99.0,31.53,3.0,-0.6815151515151515,10.51
SEA FREIGHT,EXPORT,CARGO X FEE,2020,25.0,25.0,37.5,1.0,0.5,37.5
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,17.8,1.0,-0.4606060606060606,17.8
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2020,960.0,960.0,23.85,1.0,-0.97515625,23.85
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,2740.0,2740.0,13.69,1.0,-0.9950036496350365,13.69
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2020,135.0,135.0,49.82,1.0,-0.6309629629629631,49.82
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,370.0,370.0,45.65,1.0,-0.8766216216216217,45.65
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,950.0,950.0,12.74,1.0,-0.9865894736842106,12.74
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,400.0,400.0,44.97,1.0,-0.8875749999999999,44.97
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,90.0,90.0,38.0,2.0,-0.5777777777777777,19.0
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,200.0,200.0,21.66,1.0,-0.8917,21.66
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,13.52,13.52,34.59,1.0,1.5584319526627222,34.59
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,225.0,225.0,30.35,1.0,-0.8651111111111112,30.35
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,370.0,370.0,48.07,1.0,-0.8700810810810811,48.07
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,6340.0,6340.0,31.21,2.0,-0.9950772870662461,15.605
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,925.0,925.0,19.86,1.0,-0.9785297297297297,19.86
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,32.0,32.0,12.42,1.0,-0.611875,12.42
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2020,150.0,150.0,32.52,1.0,-0.7831999999999999,32.52
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,11.0,1.0,-0.945,11.0
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,135.0,135.0,37.82,4.0,-0.7198518518518519,9.455
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,45.0,45.0,39.16,1.0,-0.12977777777777785,39.16
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,190.18,190.18,26.05,2.0,-0.863024503102324,13.025
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,16.54,1.0,-0.9173,16.54
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,2415.0,2415.0,45.35,2.0,-0.9812215320910973,22.675
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,75.0,75.0,31.74,1.0,-0.5768000000000001,31.74
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,2580.0,2580.0,38.08,1.0,-0.9852403100775194,38.08
SEA FREIGHT,EXPORT,LOCAL TRANSPORTATION FOR EXPORTED CARGO,2020,275.0,275.0,30.56,1.0,-0.8888727272727273,30.56
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2020,306.0,306.0,46.24,1.0,-0.8488888888888888,46.24
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,212.93371,212.93371,49.24,5.0,-0.7687543226481143,9.848
SEA FREIGHT,EXPORT,LOADING/OFFLOADING,2020,44.0,44.0,22.07,1.0,-0.4984090909090909,22.07
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2020,350.0,350.0,30.77,1.0,-0.9120857142857144,30.77
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,450.0,450.0,24.01,1.0,-0.9466444444444445,24.01
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,54.05,54.05,35.55,1.0,-0.3422756706753007,35.55
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,12.38,1.0,-0.9381,12.38
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,200.0,200.0,14.85,1.0,-0.9257500000000001,14.85
SEA FREIGHT,IMPORT,STAMP,2020,28.0,28.0,11.38,1.0,-0.5935714285714285,11.38
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,400.0,400.0,44.49,1.0,-0.888775,44.49
SEA FREIGHT,IMPORT,OCEAN FREIGHT - IMPORT,2020,700.0,700.0,14.53,1.0,-0.9792428571428572,14.53
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,-250.0,-250.0,25.99,-1.0,-1.10396,-25.99
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,48.820685,48.820685,49.65,1.0,0.016986959523406956,49.65
STORAGE/WAREHOUSING,COCODILLE,INSURANCE FOR STORED GOODS,2020,46.0,46.0,21.4,1.0,-0.5347826086956522,21.4
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,975.0,975.0,32.88,1.0,-0.966276923076923,32.88
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,2450.0,2450.0,37.39,1.0,-0.9847387755102042,37.39
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,91.34826,91.34826,22.73,4.0,-0.7511720529761595,5.6825
STORAGE/WAREHOUSING,COCODILLE,INSURANCE FOR STORED GOODS,2020,447.0,447.0,38.7,1.0,-0.9134228187919463,38.7
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,90.0,90.0,32.47,1.0,-0.6392222222222222,32.47
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,167.9735,167.9735,24.78,1.0,-0.8524767299603806,24.78
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,1200.0,1200.0,45.08,1.0,-0.9624333333333334,45.08
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,300.0,300.0,20.01,2.0,-0.9333,10.005
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,370.0,370.0,48.55,1.0,-0.8687837837837837,48.55
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,55.0,55.0,36.93,1.0,-0.32854545454545453,36.93
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,78.102259,78.102259,12.63,1.0,-0.8382889283650554,12.63
SEA FREIGHT,EXPORT,DRUG INSPECTION,2020,250.0,250.0,19.4,1.0,-0.9224,19.4
SEA FREIGHT,EXPORT,DRUG INSPECTION,2020,250.0,250.0,24.28,1.0,-0.90288,24.28
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,138.42981,138.42981,17.8,4.0,-0.8714149791869251,4.45
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,365.0,365.0,44.28,1.0,-0.8786849315068493,44.28
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,28.49,1.0,-0.13666666666666671,28.49
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,1599.0,1599.0,47.14,2.0,-0.9705190744215134,23.57
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,20.53,1.0,-0.89735,20.53
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,1558.0,1558.0,12.43,2.0,-0.9920218228498074,6.215
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,100.7207207,100.7207207,15.03,1.0,-0.8507754919192114,15.03
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,1.86706,1.86706,46.91,1.0,24.12506293316765,46.91
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,45.0,45.0,30.0,1.0,-0.3333333333333333,30.0
SEA FREIGHT,IMPORT,BANK CHARGES,2020,55.85,55.85,24.64,1.0,-0.5588182632050134,24.64
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,45.0,45.0,37.18,1.0,-0.17377777777777778,37.18
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,824.0,824.0,38.48,2.0,-0.9533009708737864,19.24
SEA FREIGHT,EXPORT,CERTIFICATE OF ORIGIN FEE,2020,100.0,100.0,30.86,1.0,-0.6914,30.86
SEA FREIGHT,EXPORT,DRUG INSPECTION,2020,250.0,250.0,41.82,1.0,-0.83272,41.82
SEA FREIGHT,EXPORT,LOCAL TRANSPORTATION FOR EXPORTED CARGO,2020,225.0,225.0,10.9,1.0,-0.9515555555555555,10.9
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,90.0,90.0,48.62,1.0,-0.4597777777777778,48.62
AIR FREIGHT,EXPORT,EX WORKS FOR AIRFREIGH CARGO,2020,150.0,150.0,28.1,1.0,-0.8126666666666668,28.1
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,44.0,44.0,23.75,1.0,-0.4602272727272727,23.75
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,105.0,105.0,28.94,2.0,-0.7243809523809523,14.47
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,45.0,45.0,36.69,1.0,-0.18466666666666673,36.69
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,25.0,25.0,24.87,1.0,-0.00519999999999996,24.87
AIR FREIGHT,EXPORT,SECURITY FOR AIR FREIGHT CARGO,2020,10.0,10.0,39.52,1.0,2.9520000000000004,39.52
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2020,401.0,401.0,42.48,1.0,-0.8940648379052368,42.48
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,40.97,1.0,-0.79515,40.97
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,3850.0,3850.0,48.06,1.0,-0.9875168831168831,48.06
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,132.0,132.0,42.36,1.0,-0.6790909090909091,42.36
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,140.0,140.0,32.91,1.0,-0.7649285714285714,32.91
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,2370.0,2370.0,45.86,1.0,-0.9806497890295358,45.86
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2020,350.0,350.0,20.91,1.0,-0.9402571428571428,20.91
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2020,1163.0,1163.0,48.92,1.0,-0.9579363714531384,48.92
AIR FREIGHT,EXPORT,EX WORKS FOR AIRFREIGH CARGO,2020,35.0,35.0,31.38,1.0,-0.10342857142857145,31.38
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,780.0,780.0,12.89,1.0,-0.983474358974359,12.89
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,220.0,220.0,47.81,1.0,-0.7826818181818181,47.81
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,155.0,155.0,17.45,2.0,-0.8874193548387097,8.725
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,150.0,150.0,41.51,1.0,-0.7232666666666667,41.51
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,400.0,400.0,27.0,1.0,-0.9325,27.0
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,366.47653,366.47653,20.69,6.0,-0.9435434514728679,3.4483333333333337
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2020,220.0,220.0,13.23,1.0,-0.9398636363636365,13.23
SEA FREIGHT,EXPORT,LOADING/OFFLOADING,2020,57.0,57.0,17.2,1.0,-0.6982456140350877,17.2
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,850.0,850.0,47.61,1.0,-0.9439882352941177,47.61
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,265.0,265.0,48.95,1.0,-0.8152830188679245,48.95
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,23.76,1.0,-0.8812000000000001,23.76
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,366.0,366.0,26.77,1.0,-0.9268579234972678,26.77
SEA FREIGHT,EXPORT,CARGO X FEE,2020,175.0,175.0,29.53,1.0,-0.8312571428571428,29.53
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,975.0,975.0,25.15,1.0,-0.9742051282051283,25.15
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,45.0,45.0,42.64,1.0,-0.05244444444444443,42.64
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,365.0,365.0,43.17,1.0,-0.8817260273972602,43.17
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,370.0,370.0,20.49,1.0,-0.9446216216216216,20.49
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,75.0,75.0,22.28,1.0,-0.7029333333333333,22.28
AIR FREIGHT,IMPORT,AIR FREIGHT - IMPORT,2020,3490.0,3490.0,37.11,1.0,-0.9893667621776504,37.11
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2020,1064.25,1064.25,10.06,1.0,-0.9905473338031479,10.06
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT ADDITIONAL CHARGES,2020,2028.6864,2028.6864,27.51,2.0,-0.9864395009499743,13.755
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,12.75,1.0,-0.6136363636363636,12.75
SEA FREIGHT,EXPORT,CERTIFICATE OF ORIGIN FEE,2020,100.0,100.0,43.12,1.0,-0.5688,43.12
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,400.0,400.0,10.87,1.0,-0.9728249999999999,10.87
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,-400.0,-400.0,46.63,-1.0,-1.116575,-46.63
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,3960.0,3960.0,38.43,1.0,-0.9902954545454545,38.43
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,527.8,527.8,17.15,1.0,-0.9675066312997348,17.15
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,750.0,750.0,17.7,1.0,-0.9763999999999999,17.7
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,40.0,40.0,33.86,1.0,-0.15350000000000003,33.86
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,20.41,1.0,-0.38151515151515153,20.41
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2020,126.0,126.0,35.65,1.0,-0.7170634920634921,35.65
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,231.0,231.0,36.75,1.0,-0.8409090909090909,36.75
SEA FREIGHT,EXPORT,CERTIFICATE OF ORIGIN FEE,2020,50.0,50.0,22.78,1.0,-0.5444,22.78
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2020,1878.0,1878.0,22.28,1.0,-0.988136315228967,22.28
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,784.56963,784.56963,20.77,3.0,-0.9735268876007857,6.923333333333333
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,875.0,875.0,19.04,1.0,-0.97824,19.04
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,30.0,30.0,17.47,1.0,-0.4176666666666667,17.47
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,90.0,90.0,10.44,1.0,-0.884,10.44
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,350.0,350.0,49.4,1.0,-0.8588571428571429,49.4
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,3745.0,3745.0,23.27,7.0,-0.9937863818424566,3.3242857142857143
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,13501.0,13501.0,31.32,2.0,-0.997680171839123,15.66
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,475.0,475.0,12.59,1.0,-0.9734947368421053,12.59
SEA FREIGHT,EXPORT,LOCAL TRANSPORTATION FOR EXPORTED CARGO,2020,25.0,25.0,15.29,1.0,-0.3884,15.29
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,24.42,1.0,-0.25999999999999995,24.42
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,90.0,90.0,16.97,1.0,-0.8114444444444444,16.97
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,54.05,54.05,24.99,1.0,-0.5376503237742831,24.99
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES(VAT),2020,250.0,250.0,35.7,1.0,-0.8572000000000001,35.7
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,40.0,40.0,31.55,1.0,-0.21125,31.55
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,2517.0,2517.0,47.52,2.0,-0.9811203814064362,23.76
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2020,500.0,500.0,43.5,1.0,-0.913,43.5
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,-375.0,-375.0,26.4,-1.0,-1.0704,-26.4
SEA FREIGHT,EXPORT,CARGO X FEE,2020,200.0,200.0,21.75,1.0,-0.89125,21.75
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,50.0,50.0,32.88,1.0,-0.3423999999999999,32.88
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,410.0,410.0,45.84,2.0,-0.8881951219512194,22.92
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2020,1127.52,1127.52,30.1,1.0,-0.9733042429402583,30.1
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,370.0,370.0,33.04,1.0,-0.9107027027027026,33.04
SEA FREIGHT,EXPORT,CARGO X FEE,2020,30.0,30.0,13.34,1.0,-0.5553333333333333,13.34
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2020,350.0,350.0,32.24,1.0,-0.9078857142857143,32.24
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,180.0,180.0,40.88,1.0,-0.772888888888889,40.88
SEA FREIGHT,CLEARANCE ,CUSTOM CLEARANCE FORMALITIES - IMPORT,2020,1238.0,1238.0,36.39,1.0,-0.970605815831987,36.39
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,370.0,370.0,20.63,1.0,-0.9442432432432433,20.63
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,3925.0,3925.0,18.76,1.0,-0.995220382165605,18.76
AIR FREIGHT,EXPORT,EX WORKS FOR AIRFREIGH CARGO,2020,208.0,208.0,21.09,3.0,-0.8986057692307692,7.03
SEA FREIGHT,IMPORT,LOCAL TRANSPORTATION (VAT),2020,160.0,160.0,30.55,1.0,-0.8090624999999999,30.55
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,875.0,875.0,47.07,1.0,-0.9462057142857142,47.07
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,420.0,420.0,17.35,2.0,-0.9586904761904761,8.675
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2020,99.0,99.0,36.1,1.0,-0.6353535353535353,36.1
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,850.0,850.0,26.56,1.0,-0.9687529411764707,26.56
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,38.0,1.0,0.15151515151515152,38.0
SEA FREIGHT,EXPORT,TRANSPORTATION FROM-TO WAREHOUSE (VAT),2020,150.0,150.0,23.15,1.0,-0.8456666666666667,23.15
STORAGE/WAREHOUSING,COCODILLE,INSURANCE FOR STORED GOODS,2020,330.0,330.0,42.72,1.0,-0.8705454545454545,42.72
AIR FREIGHT,EXPORT,EX WORKS FOR AIRFREIGH CARGO,2020,175.0,175.0,10.27,1.0,-0.9413142857142857,10.27
SEA FREIGHT,EXPORT,LOADING/OFFLOADING (VAT),2020,200.0,200.0,16.17,1.0,-0.9191499999999999,16.17
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,6126.8567,6126.8567,34.86,11.0,-0.9943102961751986,3.169090909090909
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,25.0,25.0,48.85,1.0,0.9540000000000001,48.85
AIR FREIGHT,IMPORT,AIR FREIGHT - IMPORT,2020,7815.0,7815.0,43.08,1.0,-0.9944875239923224,43.08
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,45.0,45.0,13.52,1.0,-0.6995555555555556,13.52
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,135.14,135.14,31.67,1.0,-0.7656504365842829,31.67
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,67.0,67.0,33.64,1.0,-0.49791044776119403,33.64
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,425.0,425.0,48.92,1.0,-0.8848941176470588,48.92
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,66.0,66.0,46.92,1.0,-0.28909090909090907,46.92
SEA FREIGHT,EXPORT,LOADING/OFFLOADING (VAT),2020,500.0,500.0,17.84,6.0,-0.9643200000000001,2.973333333333333
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,200.0,200.0,39.55,1.0,-0.8022499999999999,39.55
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,110.0,110.0,21.78,1.0,-0.8019999999999999,21.78
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,88.08662,88.08662,46.83,4.0,-0.4683642078672107,11.7075
SEA FREIGHT,IMPORT,BANK CHARGES,2020,5.585,5.585,48.55,1.0,7.692927484333034,48.55
SEA FREIGHT,CLEARANCE ,ADDITIONAL CHARGES (VAT),2020,780.0,780.0,45.9,1.0,-0.9411538461538462,45.9
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,25.0,25.0,32.22,1.0,0.28879999999999995,32.22
SEA FREIGHT,CLEARANCE ,PORT FORMALITIES (VAT),2020,175.0,175.0,27.41,1.0,-0.8433714285714285,27.41
STORAGE/WAREHOUSING,COCODILLE,STORAGE AT COCODILLE-VAT,2020,14.87,14.87,13.02,1.0,-0.12441156691324813,13.02
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,2140.0,2140.0,39.37,1.0,-0.9816028037383178,39.37
SEA FREIGHT,EXPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,775.0,775.0,11.26,1.0,-0.9854709677419355,11.26
SEA FREIGHT,IMPORT,FORMALITIES AGAINST OFFICIAL RECEIPT,2020,177.91576,177.91576,35.67,4.0,-0.7995118588707375,8.9175
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,385.0,385.0,21.29,1.0,-0.9447012987012986,21.29
AIR FREIGHT,EXPORT,AIR FREIGHT EXPORT,2020,1475.0,1475.0,25.0,1.0,-0.9830508474576272,25.0
SEA FREIGHT,EXPORT,EXPORT FORMALITIES SF CARGO,2020,350.0,350.0,17.4,1.0,-0.9502857142857144,17.4
SEA FREIGHT,EXPORT,INSURANCE FOR STORED GOODS(VAT),2020,1311.0,1311.0,26.73,1.0,-0.9796109839816933,26.73
AIR FREIGHT,IMPORT,DELIVERY ORDER FOR IMP CARGO (VAT),2020,25.0,25.0,20.46,1.0,-0.18159999999999996,20.46
AIR FREIGHT,EXPORT,EX WORKS FOR AIRFREIGH CARGO,2020,160.0,160.0,15.76,1.0,-0.9015000000000001,15.76
SEA FREIGHT,IMPORT,DETENTION,2020,565.0,565.0,31.26,2.0,-0.9446725663716814,15.63
SEA FREIGHT,IMPORT,DELIVERY ORDER (VAT),2020,55.0,55.0,39.84,1.0,-0.27563636363636357,39.84
SEA FREIGHT,EXPORT,ADDITIONAL EXPENSES,2020,25.0,25.0,24.28,1.0,-0.028799999999999954,24.28
SEA FREIGHT,IMPORT,EX WORKS FOR SEA FREIGHT CARGO - ,2020,276.8,276.8,48.34,1.0,-0.8253612716763006,48.34
SEA FREIGHT,EXPORT,OCEAN FREIGHT (EXPORT),2020,450.0,450.0,13.52,1.0,-0.9699555555555556,13.52
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,50.0,50.0,42.31,1.0,-0.15379999999999996,42.31
SEA FREIGHT,EXPORT,STORAGE AT JADRA (VAT),2020,236.0,236.0,24.63,1.0,-0.895635593220339,24.63
SEA FREIGHT,EXPORT,ENERGY CONSUMPTION AT PORT,2020,33.0,33.0,28.31,1.0,-0.14212121212121215,28.31
