Family,Sub-family,Address,Barcode,Base Unit,Branch,Brand,City,Client Category 1,Client Category 2,Client Category 3,Client Code,Client ID,Client Name,Cost Center,Cur,Date,Invoice,Product Code,Product Description,Product Name,Project,Unit,Year,Amount,Amount  LBP,Amount  USD,Gross Amount,Gross Amount  LBP,Gross Amount  USD,Net Amount,Net Amount  LBP,Net Amount  USD,Net Quantity,Net Selling,Quantity
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,,SA/2024/961,SF-EXP-ENG,,ENERGY CONSUMPTION AT PORT,Shipment,Pcs,2019,90,8055000,90,90,8055000,90,90,0,10.16,1,90,1
SEA FREIGHT,EXPORT,"BAKHAOUN  
North Leb",,Pcs,GIFCO 2023,DEFAULT,Tripoli,Default,,,GFC-012115,426,SAFA FOR GENERAL TRADING,OPERATION ACTIVITIES,USD,2/1/2024,SA/2024/5,SF-EXP-ADD-EXP,,ADDITIONAL EXPENSES,Shipment,Pcs,2019,15,1342500,15,15,1342500,15,15,0,28.6,1,15,1
SEA FREIGHT,CLEARANCE ,"AL ASHRAFIEH 
ELIAS SARKIS STR ",,Pcs,GIFCO 2023,DEFAULT,,Default,,,,1445,C.T.&S LEBANON SARL,OPERATION ACTIVITIES,EUR,4/9/2023,SA/2023/79,SF-IMP-ADD-IMP ,,ADDITIONAL EXPENSES,Shipment,Pcs,2019,1168,101623008,1268.7984,1168,101623008,1268.7984,1168,0,11.72,2,1135.68,2
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,SA/2024/124,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,11800,1056100000,11800,11800,1056100000,11800,11800,0,12.88,1,11800,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FRT,,OCEAN FREIGHT - IMPORT,Shipment,Pcs,2019,600,53519970,600,600,53519970,600,600,0,49.16,1,600,1
STORAGE/WAREHOUSING,COCODILLE,,,,,,,,,,,,,OPERATION ACTIVITIES,USD,1/9/2023,SA/2023/74,STG-COC-VAT,,STORAGE AT COCODILLE-VAT,Shipment,Pcs,2019,900,80370000,900,900,80370000,900,999,8464500,46.66,1,900,1
SEA FREIGHT,EXPORT,,,,,,,,,,,,,,,26/10/2023,SA/2023/466,SF-EXP-EXW,,EX WORKS FOR SEA FREIGHT CARGO - ,Shipment,Pcs,2019,2723,243572350,2723,2723,243572350,2723,2723,0,36.97,1,2723,1
SEA FREIGHT,IMPORT,,,,,,,,,,,,,,,,,SF-IMP-FOR-ORV,,FORMALITIES AGAINST OFFICIAL RECEIPT,Shipment,Pcs,2019,562025000,562025000,6277.81925,562025000,562025000,6277.81925,562025000,0,36.7,6,562025000,6
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,,SF-IMP-FOR-VAT,,PORT FORMALITIES (VAT),Shipment,Pcs,2019,365,32667500,365,365,32667500,365,405.15,3593425,45.18,2,365,2
SEA FREIGHT,CLEARANCE ,,,,,,,,,,,,,,,,SA/2024/446,SF-IMP-CH,,ADDITIONAL CHARGES (VAT),Shipment,Pcs,2019,125,11187500,125,125,11187500,125,138.75,1230625,42.47,1,125,1
